num_nodes,edge_prob,x_0,x_1,x_2,x_3,depth,num_qubits,rx,rz,cx
10.0,0.5,3.149664034943671,1.596072115120548,3.123892640626892,1.5689810140049831,294,10,30,136,232
10.0,0.5,3.090940931768096,1.887957668163723,3.0035011520762294,1.5130374330498606,225,10,30,108,176
10.0,0.5,3.1839749836040045,2.7271029914477305,2.586495836593462,0.9539353835912134,231,10,30,104,168
10.0,0.5,2.992763974193099,1.9283123121179977,2.982347822232885,1.7344532249259603,195,10,30,88,136
10.0,0.5,4.142090863130123,1.5797779005043036,4.120245083292625,2.5516679158591717,297,10,30,140,240
10.0,0.5,1.376761381902846,1.3651542250753397,3.53481943406951,3.082134191478032,273,10,30,124,208
10.0,0.5,4.168494984927182,2.728323141848199,3.1713776643849427,1.5739065632596192,186,10,30,88,136
10.0,0.5,3.5551964844628565,1.3293251728695543,3.969009525440474,2.5882223133622984,201,10,30,96,152
10.0,0.5,4.170061851670169,2.780039386921093,3.311087749210708,1.8900856960807595,207,10,30,104,168
10.0,0.5,3.2940168363699938,2.67690176277256,3.123525694056818,1.572583142453868,264,10,30,124,208
10.0,0.6,4.145081211288214,1.5792687738859983,4.14555142907239,1.570183381322891,270,10,30,128,216
10.0,0.6,2.942467653147181,1.2258750092141808,2.78813213109015,1.4265105339538375,291,10,30,132,224
10.0,0.6,3.4562033556060205,1.4465505308618356,3.141804329008764,2.6852409824531254,261,10,30,120,200
10.0,0.6,4.150197410923699,2.3544091613026112,3.1416075590948656,1.5135862396477529,306,10,30,144,248
10.0,0.6,4.145523785305911,1.5732400761934269,3.150767110719207,1.578427384003689,267,10,30,124,208
10.0,0.6,2.7154343192009,1.5568384398142143,2.9314518769132243,2.553533875171062,276,10,30,120,200
10.0,0.6,4.323719188968741,3.25806520044736,4.826997823108197,1.2760157433921333,243,10,30,112,184
10.0,0.6,2.9210262128115114,0.1874292587710914,3.395437279607635,1.4045270899285058,273,10,30,120,200
10.0,0.6,4.543273341233878,1.3113603258062645,2.782584127862444,1.589520006076111,267,10,30,124,208
10.0,0.6,3.895031855557014,1.466816835134945,3.168156636427059,2.724592533333301,345,10,30,160,280
10.0,0.7,3.0501605203762976,2.461555454422391,3.2906263575751,1.521815345888895,252,10,30,116,192
10.0,0.7,3.13682064603444,2.569132942647664,3.135376120819482,1.5767809585618506,318,10,30,144,248
10.0,0.7,4.441026596274029,1.232980147792139,3.957431929733217,1.5745463248960423,288,10,30,132,224
10.0,0.7,4.215139923171927,1.4897821427828593,3.114500468716009,1.855655175103543,321,10,30,152,264
10.0,0.7,4.54196603521674,2.889383071382484,2.908372309306736,0.7336279541023919,264,10,30,124,208
10.0,0.7,4.12523542704182,2.530788814897757,3.1901047750043605,1.5433785425611886,330,10,30,152,264
10.0,0.7,3.141447962939324,2.6481203401065883,2.8103197179250565,1.1634708501078044,276,10,30,124,208
10.0,0.7,3.085586402252724,2.7508366990311,4.1418257723616,1.6767009035884306,255,10,30,120,200
10.0,0.7,2.0581736485595163,1.9243224949641944,4.243582566153968,1.454720976998646,237,10,30,112,184
10.0,0.7,3.3757472171092244,1.5285537005940208,3.09342124017005,1.5223737260676862,276,10,30,128,216
10.0,0.8,4.186154240013478,1.5907166027409494,3.0855749773225987,1.4595066318656484,360,10,30,168,296
10.0,0.8,4.140385007041314,1.5609355639374327,4.141032979631611,1.5717931772066134,261,10,30,120,200
10.0,0.8,3.2079027811484,2.72515056986666,2.895248928422538,1.7953987176291053,309,10,30,140,240
10.0,0.8,4.835902388477349,1.1944550418260729,2.918673003601607,0.9525370594285018,294,10,30,132,224
10.0,0.8,3.3519021931368127,1.4860343476631053,3.107723995200869,1.5671845799902755,357,10,30,168,296
10.0,0.8,2.5443312013650843,0.7101432562630224,3.0808719457489846,1.0355181969284992,300,10,30,136,232
10.0,0.8,2.81884176794378,1.7013845153854792,4.124328712452688,1.545593834007028,336,10,30,152,264
10.0,0.8,4.175836470754831,1.1660246742752665,2.9614114368694944,1.1202816777033262,336,10,30,156,272
10.0,0.8,4.219602022699509,1.693719774635246,2.76177500565316,1.302445422315183,327,10,30,152,264
10.0,0.8,3.62560787416714,1.3891004667871905,4.278680458751435,1.4892987767996964,393,10,30,188,336
10.0,0.9,3.199322573730787,1.2581732747877643,3.167736405759493,2.738014949552878,384,10,30,176,312
10.0,0.9,4.201068059309312,1.5405699426198818,4.345240928761505,1.458888091919203,384,10,30,180,320
10.0,0.9,4.208936594998032,2.510780647452074,3.109300748915228,1.5398883652205164,357,10,30,160,280
10.0,0.9,3.3697169554230606,1.4939500781737125,3.080590644646571,1.494974119999534,396,10,30,180,320
10.0,0.9,3.5496538999198397,2.479439482651291,4.298959064253786,1.3703522064717455,270,10,30,124,208
10.0,0.9,3.147188969502794,2.564019454130778,3.145183834706522,1.5676564759571872,354,10,30,164,288
10.0,0.9,4.1189661365699095,2.6273410799199097,4.142976955870774,2.5522883767088,405,10,30,188,336
10.0,0.9,4.00595538972823,1.5386164039842185,4.1268856189617615,2.541848164784125,387,10,30,184,328
10.0,0.9,3.1791470506289703,1.9841263133118443,2.660064302261484,1.0683658153320923,399,10,30,188,336
10.0,0.9,2.497320863167424,2.7542839148116625,2.6241537437001883,1.0047324041356982,429,10,30,200,360
