node_size,model_type,dataset_size,n_features,n_outputs,rmse,mape,training_time,model_file
10,Q_values,50,55,4,0.6118322791582516,0.42688498624623933,1.1086413860321045,xgboost_model_10.pkl
10,Circuit,50,5,4,0.7739311166032573,0.40797832999890704,0.5647745132446289,xgboost_model_10_Circuit.pkl
12,Q_values,50,78,4,0.9854240926486655,0.6653387445724395,0.6876239776611328,xgboost_model_12.pkl
12,Circuit,50,5,4,1.0976164019878285,0.6603324816965572,0.4539315700531006,xgboost_model_12_Circuit.pkl
15,Q_values,50,120,4,0.6300191112065119,0.1994709664901214,0.6677100658416748,xgboost_model_15.pkl
15,Circuit,50,5,4,0.800748822617868,0.23256101640651936,0.46215319633483887,xgboost_model_15_Circuit.pkl
20,Q_values,50,210,4,0.6279703612087232,0.26437340609699433,0.8617098331451416,xgboost_model_20.pkl
20,Circuit,50,5,4,0.8512239916960574,0.32972974420079876,0.44893670082092285,xgboost_model_20_Circuit.pkl
25,Q_values,50,325,4,0.7514802085725365,0.23822661642052984,0.9940533638000488,xgboost_model_25.pkl
25,Circuit,50,5,4,0.6986518993577859,0.1886929116176703,0.43508076667785645,xgboost_model_25_Circuit.pkl
full,Q_values,250,325,4,0.7128150812307666,0.3057976684723567,3.5276715755462646,xgboost_model_full.pkl
full,Circuit,250,5,4,0.7545618957751933,0.2997602271438534,0.5474660396575928,xgboost_model_full_Circuit.pkl
10,Q_values_full_model,50,325,4,0.22308624612752176,0.026776362178869195,0.0,Models/xgboost_model_full.pkl
12,Q_values_full_model,50,325,4,0.326408904372519,0.2672054934308219,0.0,Models/xgboost_model_full.pkl
15,Q_values_full_model,50,325,4,0.13485069428550917,0.015899146318933723,0.0,Models/xgboost_model_full.pkl
20,Q_values_full_model,50,325,4,0.4060494442931366,0.09308884268262027,0.0,Models/xgboost_model_full.pkl
25,Q_values_full_model,50,325,4,0.19718700628352687,0.02696464594807011,0.0,Models/xgboost_model_full.pkl
